

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
0.000, 0.20, 1, , 0.728, 1
0.020, 0.18, 0, , 0.772, 1
0.040, 0.17, 0, , 0.814, 1
0.060, 0.21, 1, , 0.857, 1
0.080, 0.18, 0, , 0.900, 1
0.100, 0.20, 1, , 0.943, 1
0.120, 0.20, 1, , 0.986, 1
0.140, 0.20, 1, , 1.028, 1
0.160, 0.22, 1, , 1.071, 1
0.180, 0.22, 1, , 1.113, 1
0.200, 0.19, 1, , 1.156, 1
0.220, 0.24, 1, , 1.198, 1
0.240, 0.23, 1, , 1.241, 1
0.260, 0.23, 1, , 1.283, 1
0.280, 0.23, 1, , 1.325, 1
0.300, 0.24, 1, , 1.368, 1
0.320, 0.26, 1, , 1.410, 1
0.340, 0.26, 1, , 1.453, 1
0.360, 0.27, 1, , 1.495, 1
0.380, 0.26, 1, , 1.537, 1
0.400, 0.28, 1, , 1.580, 1
0.420, 0.27, 1, , 1.622, 1
0.440, 0.30, 1, , 1.665, 1
0.460, 0.29, 1, , 1.707, 1
0.480, 0.30, 1, , 1.749, 1
0.500, 0.30, 1, , 1.792, 1
0.520, 0.32, 1, , 1.834, 1
0.540, 0.31, 1, , 1.876, 1
0.560, 0.34, 1, , 1.919, 1
0.580, 0.35, 1, , 1.961, 1
0.600, 0.35, 1, , 2.003, 1
0.620, 0.38, 1, , 2.046, 1
0.640, 0.36, 1, , 2.089, 1
0.660, 0.41, 1, , 2.130, 1
0.680, 0.41, 1, , 2.172, 1
0.700, 0.40, 1, , 2.215, 1
0.720, 0.42, 1, , 2.257, 1
0.740, 0.43, 1, , 2.299, 1
0.760, 0.43, 1, , 2.342, 1
0.780, 0.42, 1, , 2.384, 1
0.800, 0.46, 1, , 2.426, 1
0.820, 0.48, 1, , 2.469, 1
0.840, 0.50, 1, , 2.511, 1
0.860, 0.51, 1, , 0.037, 1
0.880, 0.47, 1, , 0.051, 1
0.900, 0.50, 1, , 0.050, 1
0.920, 0.43, 1, , 0.045, 1
0.940, 0.41, 1, , 0.041, 1
0.960, 0.37, 1, , 0.036, 1
0.980, 0.36, 1, , 0.031, 1
1.000, 0.34, 1, , 0.027, 1
1.020, 0.35, 1, , 0.025, 1
1.040, 0.35, 1, , 0.022, 1
1.060, 0.32, 1, , 0.021, 1
1.080, 0.32, 1, , 0.020, 1
1.100, 0.32, 1, , 0.019, 1
1.120, 0.32, 1, , 0.018, 1
1.140, 0.31, 1, , 0.018, 1
1.160, 0.32, 1, , 0.018, 1
1.180, 0.30, 1, , 0.018, 1
1.200, 0.29, 1, , 0.018, 1
1.220, 0.29, 1, , 0.018, 1
1.240, 0.29, 1, , 0.018, 1
1.260, 0.29, 1, , 0.019, 1
1.280, 0.30, 1, , 0.020, 1
1.300, 0.25, 1, , 0.020, 1
1.320, 0.26, 1, , 0.021, 1
1.340, 0.28, 1, , 0.023, 1
1.360, 0.26, 1, , 0.025, 1
1.380, 0.26, 1, , 0.027, 1
1.400, 0.26, 1, , 0.029, 1
1.420, 0.28, 1, , 0.031, 1
1.440, 0.28, 1, , 0.032, 1
1.460, 0.28, 1, , 0.034, 1
1.480, 0.26, 1, , 0.036, 1
1.500, 0.27, 1, , 0.037, 1
1.520, 0.27, 1, , 0.038, 1
1.540, 0.27, 1, , 0.040, 1
1.560, 0.27, 1, , 0.042, 1
1.580, 0.27, 1, , 0.044, 1
1.600, 0.25, 1, , 0.047, 1
1.620, 0.27, 1, , 0.049, 1
1.640, 0.26, 1, , 0.050, 1
1.660, 0.26, 1, , 0.052, 1
1.680, 0.24, 1, , 0.052, 1
1.700, 0.26, 1, , 0.055, 1
1.720, 0.25, 1, , 0.056, 1
1.740, 0.26, 1, , 0.057, 1
1.760, 0.30, 1, , 0.059, 1
