

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
0.000, 0.50, N/A, , 0.113, 1
0.020, 0.61, N/A, , 0.018, 1
0.040, 0.67, N/A, , 0.021, 1
0.060, 0.66, N/A, , 0.021, 1
0.080, 0.65, N/A, , 0.021, 1
0.100, 0.65, N/A, , 0.021, 1
0.120, 0.63, N/A, , 0.021, 1
0.140, 0.63, N/A, , 0.021, 1
0.160, 0.62, N/A, , 0.021, 1
0.180, 0.62, N/A, , 0.021, 1
0.200, 0.62, N/A, , 0.021, 1
0.220, 0.61, N/A, , 0.021, 1
0.240, 0.61, N/A, , 0.021, 1
0.260, 0.61, N/A, , 0.021, 1
0.280, 0.62, N/A, , 0.021, 1
0.300, 0.61, N/A, , 0.021, 1
0.320, 0.54, N/A, , 0.021, 1
0.340, 0.61, N/A, , 0.021, 1
0.360, 0.62, N/A, , 0.021, 1
0.380, 0.59, N/A, , 0.021, 1
0.400, 0.62, N/A, , 0.022, 1
0.420, 0.61, N/A, , 0.023, 1
0.440, 0.62, N/A, , 0.025, 1
0.460, 0.62, N/A, , 0.025, 1
0.480, 0.62, N/A, , 0.027, 1
0.500, 0.64, N/A, , 0.028, 1
0.520, 0.68, N/A, , 0.030, 1
0.540, 0.65, N/A, , 0.032, 1
0.560, 0.67, N/A, , 0.034, 1
0.580, 0.67, N/A, , 0.034, 1
0.600, 0.67, N/A, , 0.036, 1
0.620, 0.66, N/A, , 0.039, 1
0.640, 0.70, N/A, , 0.040, 1
0.660, 0.69, N/A, , 0.041, 1
0.680, 0.70, N/A, , 0.043, 1
0.700, 0.72, N/A, , 0.044, 1
0.720, 0.73, N/A, , 0.045, 1
0.740, 0.74, N/A, , 0.047, 1
0.760, 0.74, N/A, , 0.049, 1
0.780, 0.75, N/A, , 0.051, 1
0.800, 0.75, N/A, , 0.053, 1
0.820, 0.76, N/A, , 0.054, 1
0.840, 0.78, N/A, , 0.056, 1
0.860, 0.78, N/A, , 0.058, 1
0.880, 0.80, N/A, , 0.060, 1
0.900, 0.80, N/A, , 0.062, 1
0.920, 0.78, N/A, , 0.063, 1
0.940, 0.81, N/A, , 0.064, 1
0.960, 0.83, N/A, , 0.066, 1
0.980, 0.86, N/A, , 0.067, 1
1.000, 0.86, N/A, , 0.069, 1
1.020, 0.86, N/A, , 0.071, 1
1.040, 0.84, N/A, , 0.072, 1
1.060, 0.87, N/A, , 0.074, 1
1.080, 0.89, N/A, , 0.076, 1
1.100, 0.88, N/A, , 0.078, 1
1.120, 0.89, N/A, , 0.079, 1
1.140, 0.92, N/A, , 0.081, 1
1.160, 0.92, N/A, , 0.083, 1
1.180, 0.94, N/A, , 0.085, 1
1.200, 0.96, N/A, , 0.085, 1
1.220, 0.95, N/A, , 0.088, 1
1.240, 0.95, N/A, , 0.089, 1
1.260, 0.96, N/A, , 0.090, 1
1.280, 0.98, N/A, , 0.091, 1
1.300, 0.98, N/A, , 0.094, 1
1.320, 0.98, N/A, , 0.095, 1
1.340, 1.01, N/A, , 0.097, 1
1.360, 1.01, N/A, , 0.099, 1
1.380, 1.04, N/A, , 0.101, 1
1.400, 1.04, N/A, , 0.103, 1
1.420, 1.08, N/A, , 0.105, 1
1.440, 1.09, N/A, , 0.107, 1
1.460, 1.10, N/A, , 0.108, 1
1.480, 1.09, N/A, , 0.110, 1
1.500, 1.11, N/A, , 0.111, 1
1.520, 1.12, N/A, , 0.112, 1
1.540, 1.13, N/A, , 0.114, 1
1.560, 1.16, N/A, , 0.117, 1
1.580, 1.14, N/A, , 0.118, 1
