Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"0.1000","0.5508","0.0003"
"0.2000","1.2731","0.0004"
"0.3000","1.9731","0.0005"
"0.4000","2.6583","0.0009"
"0.5000","3.3350","0.0016"
"0.6000","4.0071","0.0023"
"0.7000","4.6765","0.0029"
"0.8000","5.3444","0.0034"
"0.9000","6.0117","0.0039"
"1.0000","6.6785","0.0044"
"1.1000","7.3462","0.0049"
"1.2000","8.0131","0.0053"
"1.3000","8.6804","0.0057"
"1.4000","9.3469","0.0061"
"1.5000","10.0133","0.0065"
"1.6000","10.6790","0.0069"
"1.7000","11.3462","0.0072"
"1.8000","12.0133","0.0076"
"1.9000","12.6806","0.0080"
"2.0000","13.3471","0.0083"
"2.1000","14.0137","0.0086"
"2.2000","14.6800","0.0089"
"2.3000","15.3471","0.0093"
"2.4000","16.0123","0.0096"
"2.5000","16.6790","0.0099"
"2.6000","17.3465","0.0102"
"2.7000","18.0140","0.0105"
"2.8000","18.6806","0.0108"
"2.9000","19.3471","0.0110"
"3.0000","20.0131","0.0113"
"3.1000","20.6792","0.0116"
"3.2000","21.3460","0.0119"
"3.3000","22.0133","0.0121"
"3.4000","22.6804","0.0124"
"3.5000","23.3467","0.0126"
"3.6000","24.0135","0.0129"
"3.7000","24.6802","0.0131"
"3.8000","25.3467","0.0134"
"3.9000","26.0125","0.0136"
"4.0000","26.6792","0.0139"
"4.1000","27.3465","0.0141"
"4.2000","28.0142","0.0143"
"4.3000","28.6808","0.0145"
"4.4000","29.3473","0.0148"
"4.5000","30.0131","0.0150"
"4.6000","30.6800","0.0152"
"4.7000","31.3458","0.0154"
"4.8000","32.0135","0.0156"
"4.9000","32.6804","0.0158"
"5.0000","33.3473","0.0160"
"5.1000","34.0137","0.0162"
"5.2000","34.6802","0.0164"
"5.3000","35.3467","0.0166"
"5.4000","36.0127","0.0168"
"5.5000","36.6792","0.0170"
"5.6000","37.3465","0.0172"
"5.7000","38.0142","0.0174"
"5.8000","38.6802","0.0176"
"5.9000","39.3473","0.0177"
"6.0000","40.0131","0.0179"
"6.1000","40.6792","0.0181"
"6.2000","41.3456","0.0183"
"6.3000","42.0135","0.0185"
"6.4000","42.6802","0.0186"
"6.5000","43.3475","0.0188"
"6.6000","44.0135","0.0190"
"6.7000","44.6804","0.0191"
"6.8000","45.3465","0.0193"
"6.9000","46.0133","0.0194"
"7.0000","46.6787","0.0196"
"7.1000","47.3465","0.0198"
"7.2000","48.0137","0.0199"
"7.3000","48.6808","0.0201"
"7.4000","49.3471","0.0202"
"7.5000","50.0131","0.0204"
"7.6000","50.6794","0.0205"
"7.7000","51.3460","0.0207"
"7.8000","52.0133","0.0208"
"7.9000","52.6802","0.0210"
"8.0000","53.3473","0.0211"
"8.1000","54.0135","0.0213"
"8.2000","54.6802","0.0214"
"8.3000","55.3467","0.0215"
"8.4000","56.0127","0.0217"
"8.5000","56.6790","0.0218"
"8.6000","57.3465","0.0219"
"8.7000","58.0140","0.0221"
"8.8000","58.6810","0.0222"
"8.9000","59.3471","0.0223"
"9.0000","60.0133","0.0225"
"9.1000","60.6794","0.0226"
"9.2000","61.3469","0.0227"
"9.3000","62.0131","0.0228"
"9.4000","62.6804","0.0230"
"9.5000","63.3473","0.0231"
"9.6000","64.0140","0.0232"
"9.7000","64.6802","0.0233"
"9.8000","65.3467","0.0235"
"9.9000","66.0125","0.0236"
"10.0000","66.6792","0.0237"
"10.1000","67.3467","0.0238"
"10.2000","68.0137","0.0239"
"10.3000","68.6810","0.0241"
"10.4000","69.3467","0.0242"
"10.5000","70.0129","0.0243"
"10.6000","70.6794","0.0244"
"10.7000","71.3464","0.0245"
"10.8000","72.0129","0.0246"
"10.9000","72.6804","0.0247"
"11.0000","73.3471","0.0248"
"11.1000","74.0139","0.0250"
"11.2000","74.6798","0.0251"
"11.3000","75.3467","0.0252"
"11.4000","76.0125","0.0253"
"11.5000","76.6800","0.0254"
"11.6000","77.3462","0.0255"
"11.7000","78.0139","0.0256"
"11.8000","78.6808","0.0257"
"11.9000","79.3471","0.0258"
"12.0000","80.0129","0.0259"
"12.1000","80.6792","0.0260"
"12.2000","81.3462","0.0261"
"12.3000","82.0133","0.0262"
"12.4000","82.6804","0.0263"
"12.5000","83.3471","0.0264"
"12.6000","84.0139","0.0265"
"12.7000","84.6798","0.0266"
"12.8000","85.3464","0.0267"
"12.9000","86.0127","0.0268"
"13.0000","86.6796","0.0269"
"13.1000","87.3465","0.0270"
"13.2000","88.0139","0.0271"
"13.3000","88.6810","0.0272"
"13.4000","89.3475","0.0273"
"13.5000","90.0129","0.0274"
"13.6000","90.6796","0.0275"
"13.7000","91.3458","0.0275"
"13.8000","92.0139","0.0276"
"13.9000","92.6800","0.0277"
"14.0000","93.3473","0.0278"
"14.1000","94.0137","0.0279"
"14.2000","94.6804","0.0280"
"14.3000","95.3464","0.0281"
"14.4000","96.0125","0.0282"
"14.5000","96.6794","0.0283"
"14.6000","97.3465","0.0284"
"14.7000","98.0139","0.0284"
"14.8000","98.6808","0.0285"
"14.9000","99.3473","0.0286"
"15.0000","100.0129","0.0287"
"15.1000","100.6794","0.0288"
"15.2000","101.3458","0.0289"
"15.3000","102.0133","0.0290"
"15.4000","102.6800","0.0290"
"15.5000","103.3473","0.0291"
"15.6000","104.0139","0.0292"
"15.7000","104.6804","0.0293"
"15.8000","105.3462","0.0294"
"15.9000","106.0127","0.0295"
"16.0000","106.6789","0.0295"
"16.1000","107.3471","0.0296"
"16.2000","108.0135","0.0297"
"16.3000","108.6808","0.0298"
"16.4000","109.3473","0.0299"
"16.5000","110.0133","0.0299"
"16.6000","110.6789","0.0300"
"16.7000","111.3458","0.0301"
"16.8000","112.0135","0.0302"
"16.9000","112.6804","0.0303"
"17.0000","113.3473","0.0303"
"17.1000","114.0139","0.0304"
"17.2000","114.6806","0.0305"
"17.3000","115.3460","0.0306"
"17.4000","116.0123","0.0307"
"17.5000","116.6789","0.0307"
"17.6000","117.3469","0.0308"
"17.7000","118.0137","0.0309"
"17.8000","118.6812","0.0310"
"17.9000","119.3475","0.0310"
"18.0000","120.0135","0.0311"
